"DC","240403","03-Apr-24","2.35","2.37","2.215","2.28","234034","-3.80","-0.09","","","","","","","167684",\N,\N,\N,\N
"IPXXU","240403","03-Apr-24","10.51","10.51","10.5","10.51","100","0.00","0.00","","","","","","","2612",\N,\N,\N,\N
"HYZN","240403","03-Apr-24","0.83","0.871","0.7669","0.80","572948","-3.73","-0.03","","","","","","","504421",\N,\N,\N,\N
"CONX","240403","03-Apr-24","10.55","10.55","10.55","10.55","1348","0.05","0.01","","","","","","","1615",\N,\N,\N,\N
"VOR","240403","03-Apr-24","2.06","2.17","2.03","2.10","216993","0.48","0.01","","","","","","","299572",\N,\N,\N,\N
"MASS","240403","03-Apr-24","6.51","6.705","6.42","6.61","117929","0.00","0.00","","","","","","","156241",\N,\N,\N,\N
"OPFI","240403","03-Apr-24","2.48","2.52","2.45","2.49","115850","-0.40","-0.01","","","","","","","265355",\N,\N,\N,\N
"RLYB","240403","03-Apr-24","1.69","1.75","1.59","1.67","68140","-2.34","-0.04","","","","","","","204608",\N,\N,\N,\N
"NYXH","240403","03-Apr-24","11.61","13.5","11.61","12.51","34970","8.50","0.98","","","","","","","60965",\N,\N,\N,\N
"GDHG","240403","03-Apr-24","0.4511","0.455","0.392","0.41","2410151","-8.00","-0.04","","","","","","","1903545",\N,\N,\N,\N
"RLTY","240403","03-Apr-24","14.25","14.345","14.14","14.17","104667","-1.73","-0.25","","","","","","","74414",\N,\N,\N,\N
"GBBK","240403","03-Apr-24","10.78","10.9","10.78","10.78","108","-1.10","-0.12","29.86","24.5","0.64","2007/07/11","18.5","2.4","14165",\N,\N,\N,\N
"AIP","240403","03-Apr-24","7.05","7.61","6.96","7.51","181318","5.77","0.41","67.5","38.25","8.4","2006/06/30","28.2","16.7","4078",\N,\N,\N,\N
"BARK","240403","03-Apr-24","1.17","1.25","1.16","1.21","575027","2.54","0.03","","","","","","","854941",\N,\N,\N,\N
"RPHM","240403","03-Apr-24","1.71","1.74","1.67","1.71","79895","0.00","0.00","","","","","","","262050",\N,\N,\N,\N
"APCA","240403","03-Apr-24","11.29","11.293","11.28","11.29","10","0.00","0.00","","","","","","","43019",\N,\N,\N,\N
"BVS","240403","03-Apr-24","5.01","5.11","4.99","5.02","65373","-0.40","-0.02","60.56","55.61","0.78","2007/04/02","1565","6.7","135760",\N,\N,\N,\N
"BHIL","240403","03-Apr-24","0.2186","0.2419","0.185","0.21","1308890","-1.92","0.00","","","","","","","857213",\N,\N,\N,\N
"IREN","240403","03-Apr-24","5.91","6.18","5.55","5.56","9240866","-5.60","-0.33","","","","","","","8862942",\N,\N,\N,\N
"PRST","240403","03-Apr-24","0.193","0.193","0.1826","0.19","798876","-0.62","0.00","8.7","4.83","0.32","2001/01/01","218","2.4","451105",\N,\N,\N,\N
"EM","240403","03-Apr-24","0.642","0.6855","0.611","0.63","573822","-1.57","-0.01","","","","","","","188469",\N,\N,\N,\N
"GWH","240403","03-Apr-24","0.6974","0.709","0.69","0.70","537500","-0.39","0.00","","","","","","","913062",\N,\N,\N,\N
"GCT","240403","03-Apr-24","33.7","36.95","33.65","35.65","5213886","7.22","2.40","14.18","7.48","0.66","2007/06/26","20.9","8.2","3005246",\N,\N,\N,\N
"BAER","240403","03-Apr-24","5.1","5.105","5.06","5.07","8349","-0.59","-0.03","","","","","","","18873",\N,\N,\N,\N
"MKFG","240403","03-Apr-24","0.7875","0.8267","0.71","0.71","453759","-13.32","-0.11","","","","","","","304558",\N,\N,\N,\N
"RBOT","240403","03-Apr-24","0.2801","0.2944","0.26","0.28","830171","-0.07","0.00","","","","","","","608248",\N,\N,\N,\N
"CSLM","240403","03-Apr-24","11.04","11.04","11.01","11.04","109","0.27","0.03","","","","","","","36347",\N,\N,\N,\N
"ZURA","240403","03-Apr-24","2.86","3.05","2.73","2.93","163568","0.00","0.00","","","","","","","267870",\N,\N,\N,\N
"FEAM","240403","03-Apr-24","1.5","1.66","1.46","1.48","1017380","12.98","0.17","","","","","","","180852",\N,\N,\N,\N
"IRRX","240403","03-Apr-24","10.95","10.95","10.95","10.95","18","0.00","0.00","","","","","","","20388",\N,\N,\N,\N
"SKYH","240403","03-Apr-24","11.9","11.9","11.15","11.31","14979","-4.67","-0.55","","","","","","","20455",\N,\N,\N,\N
"OBIO","240403","03-Apr-24","4.94","5.17","4.86","4.90","58009","-2.78","-0.14","","","","","","","48042",\N,\N,\N,\N
"CDZIP","240403","03-Apr-24","13.32","13.54","13.15","13.31","29539","-1.62","-0.22","","","","","","","5408",\N,\N,\N,\N
"AFCG","240403","03-Apr-24","12.06","12.14","11.99","12.05","55718","0.17","0.02","","","","","","","119245",\N,\N,\N,\N
"FFIE","240403","03-Apr-24","0.091","0.0956","0.089","0.09","14745230","0.00","0.00","","","","","","","21192839",\N,\N,\N,\N
"ASCB","240403","03-Apr-24","11.18","11.18","10.87","11.11","865","-0.27","-0.03","","","","","","","7312",\N,\N,\N,\N
"PRLH","240403","03-Apr-24","10.8","10.91","10.8","10.91","2422","1.02","0.11","","","","","","","6046",\N,\N,\N,\N
"BLFY","240403","03-Apr-24","8.87","9.01","8.82","8.92","35344","-0.56","-0.05","","","","","","","48667",\N,\N,\N,\N
