"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"GOOG",240328,0.29,0.4,7.86,49.54,8.12,"Mkt Perform","Weak","240325","-",5,-59.94,0.44,"","","+","","",1,150.13,147.01,152.69,152.93,7.18,11.81,9.01,150.7,136.64,,
"MSFT",240328,-0.17,-1.87,12.11,49.98,11.88,"Mkt Perform","Strong","240325","-",5,-87.3,-0.72,"","","+","","",26,419.01,413.78,424.45,430.82,1.03,3.57,1.71,420.82,397.22,,
"BRK.A",240328,0.15,0.95,15.7,36.45,16.05,"Mkt Perform","Weak","240328","+",1,8.34,927.5,"","","+","","",1,621646,613000,630000,633349,2.01,3.41,2.27,647039,575060,,
"BRK.B",240328,0.43,1.36,17.1,37.15,17.17,"Mkt Perform","Weak","240328","+",1,-44.17,1.78,"","","+","","",1,413.4,406,417.21,417.83,2.59,3.86,2.27,430,381.48,,
"AMZN",240328,0.32,0.82,17.68,79.95,18.73,"Mkt Perform","Strong","240315","+",1,19.8,0.57,"","","+","","",4,177.31,173.52,180,181.41,3.43,2.88,2.2,177.22,155.62,,
"META",240328,-1.21,-4.25,36.13,137.6,37.82,"Mkt Perform","Weak","240328","-",1,-49.9,-5.96,"","","-","","",4,488.07,481.28,499.89,515.04,0.79,-5.21,-0.45,494.36,397.17,,
"JNJ",240328,0.31,2.07,1.19,3.35,1.09,"Mkt Perform","Weak","240325","+",1,-46.4,0.49,"","","-","","",5,155.44,155.1,158.22,158.67,0.17,-0.67,-1.82,162.25,154.83,,
"XOM",240328,0.91,2.22,15.79,6.47,16.04,"Strong","Mkt Perform","240328","+",1,88.83,1.05,"","","+","","",1,113.41,111.1,115.06,113.91,4.26,7.04,11,105.43,100.42,,
"JPM",240328,0.27,1.75,17.48,54.92,17.61,"Strong","Mkt Perform","240328","+",1,40.56,0.54,"","","+","","",26,196.38,189.89,199.6,200.48,5.13,6.29,7.52,186.43,171.43,,
"WFC",240328,0.47,1.31,16.98,52.44,17.59,"Mkt Perform","Strong","240318","+",1,143.73,0.27,"","","-","","",26,56.38,56.28,57.64,58.12,0.64,1.42,4.12,55.69,47.45,,
